"","Season","Site","N","SampleCoverage","ObservedS","Hill_0","Hill_1","Hill_2","sampleCoverage_at_Estimation","NMDS1","NMDS2"
"1","ALL",1,395,1,10,9.03979302864495,7.15970827924986,6.36219537901489,0.991642181680021,-0.0787109027412289,-0.1852149677617
"2","ALL",2,372,1,10,8.97909303839764,6.22160025268913,4.90876581913318,0.990956951976197,0.289489520953075,-0.132371384631122
"3","ALL",3,226,0.9912,9,7.97832270157689,3.55581136728131,2.31599749033564,0.989794215850955,-0.426777429075245,0.262800859862981
"4","ALL",4,388,1,9,8.08028623123287,5.53543254298123,4.36878637817627,0.992329895225888,-0.531945672909298,-0.141018329238178
"5","ALL",5,177,1,9,8.52064274477446,3.51718528636611,2.15473007874454,0.990385237741514,-0.229906412358807,0.167444451733745
"6","ALL",6,185,0.9893,11,11.0106945655333,6.95899106555854,6.17984832069339,0.98942042979504,0.160992248954355,0.252942068644528
"7","ALL",7,490,1,9,8.04651605089783,5.63740239489671,4.65491193218502,0.992653479384113,0.228784904952352,-0.530857309241358
"8","ALL",8,220,0.9955,11,10.5553128370252,7.10383759390682,5.8538678325453,0.9900112060516,0.588073742224797,0.306274610631104
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Spring",1,304,1,10,9.14683718354443,7.17896235655906,6.29630886583401,0.991539259518763,-0.129976599836056,0.0794301000796995
"11","Spring",2,225,0.9912,10,8.96497953229775,6.25517075533283,4.95747574410277,0.989755248013457,-0.175220106598594,-0.240929956956584
"12","Spring",3,161,0.9877,9,9.18919153158213,3.24922370668825,1.99803041526864,0.990066700144523,0.658756052673138,0.0953077997643975
"13","Spring",4,208,0.9904,9,8.8711831257071,4.71218546704048,3.85242801943268,0.989782553444532,0.386636758921664,-0.214576440424657
"14","Spring",5,123,0.9757,9,11.676696512933,3.38405366961366,2.10017862416111,0.990289575428191,0.415184719201811,0.110477134725213
"15","Spring",6,134,0.9926,9,8.79544965752398,6.56375450322838,5.89250038995076,0.989479298619137,-0.114622485382432,-0.0878724393053943
"16","Spring",7,220,1,9,8.22184530576865,6.07093159325659,5.1219789070309,0.990054443550129,-0.364856359898104,0.343485565259347
"17","Spring",8,125,0.9841,11,11.6878349944699,7.66155693581453,6.57822581029722,0.989630679955758,-0.675901979081428,-0.0853217631420211
"18","Summer",1,46,1,6,5.95901640309428,5.21071995297194,4.70240765128923,0.991740688780261,-0.245468765634795,0.427939206244595
"19","Summer",2,43,0.9778,5,5.27697943985995,2.84022611866047,2.11996305276527,0.990391243038031,-0.2841117958505,-0.311508667410283
"20","Summer",3,65,0.9851,6,6.17231418991919,3.83682208959516,3.08142369575817,0.990303227200349,0.374731085488152,-0.010425098160164
"21","Summer",4,46,0.9792,6,6.23436264229277,3.86732060491922,2.86521443158611,0.989158817340858,0.662941826177483,0.181301531103949
"22","Summer",5,18,0.9006,5,5.85307980489045,4.11770462067476,3.20289855072464,0.990382669520632,0.139081097602331,-0.470401520682074
"23","Summer",6,14,0.8762,6,6.85791478629969,6.14497708669284,5.23741007194245,0.990579114363769,-0.0776870046624312,0.200798893192356
"24","Summer",7,189,1,8,7.5692561670089,5.48581068082087,4.6680271441593,0.989862175618635,-0.494729733201929,0.047725522886964
"25","Summer",8,61,0.9841,7,7.17068449421404,4.90999603034903,3.81647549530761,0.989641329533081,-0.0747567099183096,-0.0654298671753426
"26","Winter",1,45,0.9121,9,13.9929805568697,6.61277476076459,4.9772828839565,0.968210767805027,-0.451690216604559,0.169904530162423
"27","Winter",2,104,1,8,7.85843759320267,6.37941424431285,5.54701028068303,0.987948300683278,-0.338127121274986,-0.0594805375520279
"28","Winter",4,134,1,8,7.906719625544,6.57655772975586,5.6065182730175,0.991714467171718,-0.196755873753138,-0.0085859910214142
"29","Winter",5,36,1,4,3.96547841119332,2.3914300743083,1.80998614726701,0.989797150371054,0.665249230990016,0.11359157012481
"30","Winter",6,37,0.9744,8,8.28166606880434,6.7848391407828,5.81132696740204,0.989219978016729,-0.142883950143397,-0.495352710731183
"31","Winter",7,81,1,6,5.95833271931508,3.07036066383496,2.34352078487434,0.991666282098417,-0.0935034881228729,0.380086662849354
"32","Winter",8,34,0.9429,7,8.5871291433856,5.50995443277337,4.22572634715669,0.989586843317569,0.557711418908938,-0.100163523831962
